month,maximum_rainfall_in_a_day,year,month_only,no_of_rainy_days,total_rainfall
2007-11-01,60.1,2007,11,21.0,367.9
2007-12-01,159.0,2007,12,20.0,468.6
2008-01-01,123.1,2008,1,19.0,262.6
2008-02-01,48.5,2008,2,8.0,129.2
2008-03-01,48.1,2008,3,16.0,294.1
2008-04-01,34.2,2008,4,13.0,87.2
2008-05-01,42.3,2008,5,11.0,124.9
2008-06-01,45.2,2008,6,12.0,118.3
2008-07-01,23.5,2008,7,15.0,89.1
2008-08-01,133.9,2008,8,18.0,327.3
2008-09-01,43.5,2008,9,18.0,164.4
2008-10-01,41.6,2008,10,19.0,159.5
2008-11-01,63.3,2008,11,16.0,324.3
2008-12-01,52.0,2008,12,17.0,244.2
2009-01-01,36.0,2009,1,5.0,38.3
2009-02-01,74.2,2009,2,8.0,201.8
2009-03-01,56.3,2009,3,19.0,223.3
2009-04-01,86.6,2009,4,12.0,183.7
2009-05-01,41.3,2009,5,17.0,198.6
2009-06-01,5.8,2009,6,8.0,21.8
2009-07-01,24.4,2009,7,16.0,161.0
2009-08-01,35.5,2009,8,12.0,177.8
2009-09-01,63.0,2009,9,13.0,109.6
2009-10-01,38.4,2009,10,15.0,133.4
2009-11-01,61.4,2009,11,23.0,281.8
2009-12-01,42.6,2009,12,18.0,189.8
2010-01-01,24.5,2010,1,10.0,69.5
2010-02-01,2.9,2010,2,4.0,6.3
2010-03-01,57.6,2010,3,11.0,238.0
2010-04-01,40.0,2010,4,18.0,158.5
2010-05-01,90.5,2010,5,17.0,157.5
2010-06-01,43.0,2010,6,19.0,240.5
2010-07-01,121.1,2010,7,18.0,298.5
2010-08-01,60.2,2010,8,16.0,158.4
2010-09-01,28.0,2010,9,13.0,121.5
2010-10-01,58.1,2010,10,17.0,166.2
2010-11-01,41.6,2010,11,21.0,278.8
2010-12-01,85.8,2010,12,14.0,181.4
2011-01-01,216.2,2011,1,17.0,513.2
2011-02-01,17.4,2011,2,8.0,23.0
2011-03-01,54.0,2011,3,22.0,256.6
2011-04-01,61.8,2011,4,12.0,217.8
2011-05-01,34.2,2011,5,15.0,127.0
2011-06-01,82.0,2011,6,15.0,213.0
2011-07-01,30.0,2011,7,7.0,76.6
2011-08-01,30.2,2011,8,13.0,81.4
2011-09-01,40.4,2011,9,14.0,136.4
2011-10-01,54.0,2011,10,20.0,216.8
2011-11-01,78.6,2011,11,24.0,377.8
2011-12-01,87.4,2011,12,21.0,284.6
2012-01-01,26.2,2012,1,16.0,106.1
2012-02-01,38.4,2012,2,11.0,83.6
2012-03-01,92.3,2012,3,21.0,313.4
2012-04-01,48.4,2012,4,20.0,260.6
2012-05-01,79.2,2012,5,19.0,292.0
2012-06-01,38.2,2012,6,8.0,53.0
2012-07-01,35.4,2012,7,17.0,130.8
2012-08-01,31.0,2012,8,12.0,119.0
2012-09-01,35.8,2012,9,10.0,107.6
2012-10-01,22.6,2012,10,13.0,122.2
2012-11-01,49.2,2012,11,22.0,208.2
2012-12-01,78.8,2012,12,22.0,363.4
2013-01-01,73.0,2013,1,15.0,262.0
2013-02-01,95.2,2013,2,22.0,395.2
2013-03-01,29.6,2013,3,10.0,85.8
2013-04-01,41.6,2013,4,19.0,159.4
2013-05-01,46.2,2013,5,17.0,211.4
2013-06-01,22.4,2013,6,12.0,111.4
2013-07-01,37.4,2013,7,15.0,174.6
2013-08-01,43.2,2013,8,15.0,165.6
2013-09-01,52.6,2013,9,19.0,257.0
2013-10-01,139.8,2013,10,19.0,285.4
2013-11-01,44.0,2013,11,22.0,292.4
2013-12-01,119.8,2013,12,21.0,348.2
2014-01-01,31.2,2014,1,5.0,75.4
2014-02-01,0.2,2014,2,1.0,0.2
2014-03-01,52.6,2014,3,6.0,66.0
2014-04-01,28.8,2014,4,17.0,110.0
2014-05-01,22.2,2014,5,18.0,125.8
2014-06-01,18.8,2014,6,11.0,71.4
2014-07-01,29.0,2014,7,15.0,148.6
2014-08-01,44.2,2014,8,20.0,241.0
2014-09-01,34.6,2014,9,9.0,83.6
2014-10-01,32.8,2014,10,10.0,120.0
2014-11-01,64.4,2014,11,23.0,250.8
2014-12-01,48.2,2014,12,17.0,245.6
2015-01-01,33.6,2015,1,6.0,79.6
2015-02-01,10.8,2015,2,6.0,18.8
2015-03-01,46.0,2015,3,5.0,84.4
2015-04-01,18.8,2015,4,13.0,73.2
2015-05-01,22.2,2015,5,12.0,89.0
2015-06-01,28.4,2015,6,10.0,95.8
2015-07-01,45.8,2015,7,13.0,116.8
2015-08-01,63.2,2015,8,11.0,185.8
2015-09-01,18.4,2015,9,8.0,61.6
2015-10-01,28.6,2015,10,9.0,87.2
